CustomerID;Gender;Age;Annual Income ($);Spending Score (1-5);Profession;Work Experience;Family Size
278;Male;13;175267;5;Healthcare;1;4
279;Female;88;172369;5;Artist;6;6
280;Female;64;89972;5;Artist;10;6
281;Female;8;57605;5;Doctor;0;2
282;Female;31;138644;5;Engineer;4;3
283;Male;2;111618;5;Lawyer;6;5
284;Male;36;163845;5;Doctor;5;7
285;Female;21;123904;5;Artist;7;5
286;Female;62;89801;5;Artist;5;4
287;Female;68;75561;5;Healthcare;5;3
288;Female;48;151519;5;Artist;7;2
289;Female;20;92048;5;Healthcare;1;1
290;Male;61;99980;5;Healthcare;10;1
291;Male;2;110889;5;Executive;1;2
292;Female;52;82478;5;Executive;10;1
293;Female;58;119366;5;Engineer;4;2
294;Female;1;90341;5;Doctor;0;2
295;Female;67;118348;5;Engineer;1;7
296;Male;56;137428;5;Artist;0;2
297;Female;51;58006;5;Executive;1;5
298;Male;93;121513;5;Engineer;0;6
299;Female;64;146794;5;Healthcare;8;3
300;Female;7;137354;5;Artist;8;7
301;Female;12;63334;5;Artist;0;6
302;Male;78;163514;5;Doctor;9;2
303;Female;25;136146;5;Artist;6;6
304;Male;9;130186;5;Artist;9;7
305;Male;58;85908;5;Artist;5;4
306;Female;16;75831;5;Healthcare;10;7
307;Male;63;126380;5;Artist;6;1
308;Male;27;80783;5;Artist;9;3
309;Male;71;85908;5;Entertainment;5;4
310;Female;88;139806;5;Entertainment;4;4
311;Female;5;124702;5;Artist;10;3
312;Female;80;178866;5;Artist;8;4
313;Female;19;147052;5;Homemaker;9;4
314;Female;97;167558;5;Artist;4;7
315;Male;72;166043;5;Doctor;7;6
316;Female;86;117203;5;Healthcare;10;3
317;Male;19;179269;5;Entertainment;6;3
318;Female;84;136254;5;Engineer;5;6
319;Male;69;143987;5;Healthcare;10;5
320;Female;41;91715;5;Entertainment;0;3
321;Female;39;70280;5;Engineer;0;4
322;Female;90;70030;5;Healthcare;1;2
323;Female;92;166163;5;Engineer;8;5
324;Male;90;182910;5;Entertainment;0;1
325;Female;93;93964;5;Artist;4;2
326;Female;3;136316;5;Executive;0;3
327;Male;25;100964;5;Marketing;1;6
328;Male;86;129914;5;Artist;1;3
329;Female;56;138864;5;Artist;0;5
330;Male;55;148875;5;Artist;0;4
331;Male;91;82992;5;Entertainment;1;5
332;Female;80;104820;5;Artist;2;4
333;Male;74;164976;5;Entertainment;0;4
334;Female;71;152910;5;Artist;1;6
335;Male;30;173096;5;Healthcare;0;3
336;Female;52;121172;5;Healthcare;5;4
337;Male;17;131863;5;Artist;1;7
338;Male;45;88707;5;Healthcare;0;5
339;Male;15;188696;5;Homemaker;8;3
340;Female;78;91213;5;Lawyer;3;5
341;Female;83;166650;5;Healthcare;1;3
342;Male;75;126469;5;Entertainment;1;2
343;Male;82;150012;5;Healthcare;3;6
344;Male;37;133850;5;Marketing;9;3
345;Female;25;81640;5;Entertainment;1;6
346;Female;9;146950;5;Doctor;6;5
347;Male;15;128573;5;Executive;1;1
348;Female;13;132374;5;Marketing;0;3
349;Male;0;126060;5;Doctor;1;3
350;Female;83;142720;5;Executive;0;1
351;Female;18;149915;5;Doctor;14;1
352;Male;9;124125;5;Artist;1;2
353;Female;8;53306;5;Engineer;0;2
354;Female;69;171118;5;Engineer;9;3
355;Male;67;86289;5;Artist;1;5
356;Female;5;142351;5;Entertainment;0;7
357;Female;64;92812;5;Artist;5;7
358;Female;22;153024;5;Artist;10;7
359;Female;43;156567;5;Engineer;7;6
360;Female;87;170333;5;Entertainment;4;2
361;Male;75;172309;5;Executive;4;1
362;Female;68;176884;5;Engineer;10;2
363;Female;80;106709;5;Marketing;10;2
364;Female;1;89473;5;Lawyer;10;4
365;Female;70;57596;5;Artist;4;1
366;Female;67;78489;5;Artist;7;5
367;Male;94;65483;5;Marketing;10;7
368;Male;43;103531;5;Artist;10;5
369;Female;66;184060;5;Artist;10;5
370;Female;32;185218;5;Healthcare;4;6
371;Female;20;113767;5;Artist;6;2
372;Female;90;62504;5;Artist;10;4
373;Female;91;156574;5;Marketing;0;7
374;Male;81;152602;5;Entertainment;0;1
375;Female;84;56809;5;Healthcare;1;2
376;Female;22;88729;5;Engineer;1;1
377;Female;63;81199;5;Entertainment;1;2
378;Female;44;173682;5;Artist;12;6
379;Female;69;168710;5;Doctor;1;4
380;Male;16;150193;5;Engineer;2;2
381;Male;57;102692;5;Healthcare;0;2
382;Female;63;155638;5;Engineer;1;4
383;Female;19;134644;5;Executive;1;2
384;Female;39;61298;5;Artist;0;5
385;Male;46;126228;5;Marketing;8;2
386;Male;85;74081;5;Healthcare;4;3
387;Female;68;53552;5;Marketing;7;6
388;Female;92;174786;5;Executive;4;3
389;Female;78;112887;5;Entertainment;9;6
390;Female;97;75125;5;Executive;8;3
391;Male;90;158280;5;Executive;6;7
392;Female;58;149237;5;Entertainment;8;6
393;Male;59;101698;5;Artist;9;3
394;Male;73;142502;5;Doctor;5;1
395;Female;88;146970;5;Artist;7;6
396;Male;61;182176;5;Artist;9;5
397;Female;76;124034;5;Executive;10;2
398;Male;55;107099;5;Executive;4;6
399;Male;45;140263;5;Entertainment;10;5
400;Male;60;127438;5;Engineer;7;2
401;Male;84;104589;5;Artist;10;2
402;Male;0;165321;5;Doctor;8;1
403;Male;63;59244;5;Artist;7;1
404;Female;97;129444;5;Entertainment;5;6
405;Female;19;54121;5;Engineer;6;3
406;Male;21;35000;5;Engineer;3;3
407;Female;23;84000;5;Healthcare;1;3
408;Female;35;93000;5;Healthcare;4;4
409;Female;35;62000;5;Artist;0;1
410;Female;46;42000;5;Artist;13;2
411;Male;29;52000;5;Artist;1;3
412;Female;23;20000;5;Artist;5;4
413;Male;18;62000;5;Homemaker;9;7
414;Female;21;95000;5;Healthcare;3;4
415;Male;24;85000;5;Healthcare;0;2
416;Male;39;6000;5;Healthcare;1;3
417;Male;40;4000;5;Artist;0;2
418;Male;20;89000;5;Engineer;1;2
419;Female;29;92000;5;Executive;5;5
420;Female;57;32000;5;Engineer;0;2
421;Male;32;66000;5;Artist;0;5
422;Female;32;85000;5;Lawyer;1;2
423;Male;28;26000;5;Marketing;8;5
424;Male;34;90000;5;Artist;6;3
425;Male;39;41000;5;Engineer;0;1
426;Female;27;10000;5;Marketing;8;4
427;Female;29;50000;5;Healthcare;1;5
428;Male;19;35000;5;Executive;0;5
429;Female;31;58000;5;Healthcare;1;5
430;Female;33;83000;5;Artist;0;5
431;Male;36;99000;5;Artist;5;2
432;Female;30;28000;5;Artist;3;4
433;Male;35;42000;5;Engineer;8;1
434;Female;32;61000;5;Entertainment;7;5
435;Female;29;66000;5;Artist;4;4
436;Male;30;72000;5;Artist;6;2
437;Female;36;95000;5;Artist;4;2
438;Female;38;45000;5;Artist;10;4
439;Male;30;33000;5;Artist;4;2
440;Female;1;57000;5;Engineer;1;2
441;Female;0;22000;5;Artist;2;1
442;Male;49;50000;5;Lawyer;8;1
443;Female;83;35000;5;Doctor;8;2
444;Male;76;89000;5;Healthcare;9;4
445;Female;67;18000;5;Lawyer;0;2
446;Male;91;9000;5;Healthcare;1;5
447;Male;23;0;5;Doctor;1;3
448;Male;80;20000;5;Engineer;1;3
449;Male;79;73000;5;Homemaker;6;7
450;Female;52;35000;5;Doctor;2;6
451;Female;1;12000;5;Doctor;0;3
452;Female;18;143000;5;Artist;0;2
453;Male;78;65000;5;Lawyer;1;2
454;Male;16;9000;5;Executive;7;4
455;Female;32;63000;5;Executive;1;4
456;Female;85;140000;5;Entertainment;1;1
457;Female;21;5000;5;Marketing;0;1
458;Female;10;68000;5;Doctor;6;3
459;Female;79;31000;5;Engineer;3;3
460;Male;32;32000;5;Entertainment;5;2
461;Male;26;112766;5;Engineer;8;4
462;Male;72;93921;5;Lawyer;9;2
463;Male;45;183217;5;Artist;7;2
464;Male;13;95469;5;Doctor;6;1
465;Female;63;64589;5;Engineer;7;1
466;Male;0;173743;5;Artist;0;4
467;Female;84;173185;5;Artist;3;1
468;Male;75;142034;5;Entertainment;1;4
469;Female;4;148431;5;Healthcare;1;8
470;Female;78;126599;5;Lawyer;0;3
471;Female;88;166107;5;Artist;13;4
472;Female;92;67850;5;Artist;9;4
473;Female;51;72303;5;Lawyer;7;1
474;Female;89;115811;5;Homemaker;11;4
475;Male;46;62833;5;Artist;1;2
476;Female;28;178265;5;Lawyer;2;1
477;Female;48;167232;5;Doctor;6;4
478;Male;22;159296;5;Artist;8;1
479;Female;79;143560;5;Artist;1;3
480;Male;83;131574;5;Artist;1;2
481;Female;25;67447;5;Artist;15;2
482;Female;75;151696;5;Artist;15;1
483;Female;50;91389;5;Healthcare;11;7
484;Male;54;186359;5;Doctor;13;2
485;Male;21;187761;5;Healthcare;2;3
486;Male;37;102717;5;Healthcare;7;4
487;Male;83;102647;5;Entertainment;0;2
488;Female;65;86509;5;Artist;0;4
489;Female;75;135088;5;Lawyer;1;5
490;Female;56;183540;5;Entertainment;0;6
491;Female;68;72847;5;Artist;1;2
492;Male;1;111558;5;Healthcare;7;4
493;Male;37;153399;5;Entertainment;1;6
494;Female;6;162858;5;Artist;0;1
495;Female;95;66322;5;Artist;0;3
496;Male;7;70749;5;Artist;13;3
497;Male;54;65874;5;Artist;7;6
498;Female;58;67097;5;Engineer;6;1
499;Male;7;176349;5;Healthcare;8;2
500;Female;15;181332;5;Artist;14;6
501;Female;21;153885;5;Artist;6;6
502;Male;93;120597;5;Artist;2;4
503;Male;0;186002;5;Doctor;15;2
504;Male;20;130813;5;Artist;17;5
505;Female;11;59202;5;Healthcare;5;4
506;Male;7;134008;5;Entertainment;2;1
507;Male;76;155622;5;Healthcare;0;2
508;Female;60;77857;5;Artist;1;6
509;Female;60;81934;5;Healthcare;1;4
510;Female;59;130511;5;Artist;3;4
511;Female;54;144502;5;Lawyer;3;1
512;Male;12;84547;5;Homemaker;3;3
513;Male;41;65723;5;Artist;6;7
514;Female;38;96794;5;Healthcare;6;3
515;Female;20;111896;5;Executive;1;3
516;Female;48;174109;5;Entertainment;0;1
517;Female;37;148196;5;Artist;0;2
518;Male;85;131742;5;Entertainment;1;1
519;Female;78;59971;5;Homemaker;14;7
520;Male;48;115832;5;Artist;2;2
521;Male;57;152267;5;Engineer;9;5
522;Female;84;151340;5;Artist;1;7
523;Female;56;100271;5;Artist;1;5
524;Male;99;164781;5;Engineer;0;2
525;Female;25;156016;5;Artist;2;1
526;Female;35;99300;5;Homemaker;5;2
527;Male;89;57033;5;Artist;0;4
528;Male;40;185321;5;Artist;0;7
529;Female;17;186577;5;Healthcare;8;5
530;Male;0;151298;5;Artist;0;6
531;Female;2;101451;5;Healthcare;4;3
532;Male;15;142776;5;Engineer;8;5
533;Male;22;162598;5;Artist;8;3
534;Female;37;146195;5;Healthcare;4;4
535;Female;10;112818;5;Marketing;15;7
536;Male;49;53509;5;Artist;5;4
537;Female;52;70302;5;Executive;14;3
538;Male;62;71795;5;Healthcare;8;1
539;Male;41;76567;5;Doctor;16;1
540;Female;23;73759;5;Doctor;0;7
541;Female;52;93947;5;Healthcare;9;2
542;Female;37;149095;5;Lawyer;1;2
543;Female;16;93854;5;Healthcare;0;7
544;Male;32;118280;5;Artist;0;5
545;Male;91;94576;5;Artist;0;1
546;Female;26;113707;5;Entertainment;0;5
547;Female;66;178627;5;Healthcare;1;2
548;Female;49;170188;5;Lawyer;1;6
549;Male;74;91794;5;Entertainment;0;7
550;Female;16;189072;5;Artist;6;3
551;Female;3;158549;5;Executive;0;3
552;Male;31;134263;5;Marketing;1;3
553;Male;94;171677;5;Artist;0;6
554;Female;3;117638;5;Healthcare;2;7
555;Female;23;144916;5;Engineer;1;7
556;Female;13;180786;5;Lawyer;1;5
557;Female;57;87553;5;Artist;1;1
558;Female;29;112240;5;Entertainment;0;4
559;Female;74;92355;5;Entertainment;1;4
560;Male;8;158123;5;Artist;1;1
561;Female;62;70119;5;Artist;0;1
562;Male;5;57265;5;Entertainment;7;7
563;Male;4;141336;5;Homemaker;2;1
564;Female;69;153217;5;Healthcare;1;6
565;Female;9;158596;5;Artist;1;2
566;Male;80;127335;5;Artist;6;6
567;Female;50;183548;5;Entertainment;1;4
568;Male;12;101388;5;Artist;0;2
569;Female;25;106569;5;Engineer;1;3
570;Male;77;93242;5;Entertainment;0;7
571;Female;34;115184;5;Homemaker;1;4
572;Female;0;147719;5;Lawyer;1;7
573;Male;11;166247;5;Executive;1;2
574;Female;67;121528;5;Healthcare;8;4
575;Male;25;57535;5;Entertainment;1;7
576;Female;6;146776;5;Lawyer;1;7
577;Female;62;111859;5;Healthcare;6;1
578;Female;43;185900;5;Homemaker;9;4
579;Female;34;94029;5;Healthcare;1;4
580;Female;15;81138;5;Healthcare;9;7
581;Female;13;141580;5;Healthcare;0;4
582;Female;88;171362;5;Executive;6;4
583;Female;63;78971;5;Engineer;1;2
584;Female;31;144582;5;Doctor;1;1
585;Male;18;62362;5;Lawyer;7;3
586;Female;52;167214;5;Homemaker;8;7
587;Female;40;113739;5;Artist;5;7
588;Female;95;72068;5;Healthcare;0;6
589;Male;25;81367;5;Doctor;0;3
590;Female;12;82382;5;Executive;1;3
591;Female;2;145597;5;Artist;1;6
592;Male;51;162072;5;Engineer;1;1
593;Female;68;71467;5;Artist;5;7
594;Male;18;185861;5;Artist;3;6
595;Female;25;111379;5;Artist;0;2
596;Male;5;83704;5;Entertainment;1;1
597;Male;12;109618;5;Artist;7;3
598;Female;5;169702;5;Doctor;5;1
599;Male;59;97185;5;Entertainment;0;5
600;Male;23;67535;5;Healthcare;7;6
601;Female;41;87975;5;Homemaker;9;7
602;Female;24;154787;5;Executive;3;5
603;Female;17;109759;5;Artist;9;3
604;Male;32;130697;5;Artist;1;2
605;Male;24;77976;5;Artist;11;3
606;Female;80;55712;5;Artist;5;6
607;Male;8;151648;5;Healthcare;8;6
608;Female;99;55972;5;Entertainment;1;7
609;Female;99;145777;5;Executive;1;5
610;Male;41;119259;5;Healthcare;1;5
611;Male;55;99423;5;Healthcare;0;5
612;Male;15;114061;5;Artist;2;5
613;Female;96;168990;5;Doctor;9;5
614;Male;60;162612;5;Engineer;1;6
615;Female;1;111424;5;Entertainment;8;5
616;Female;65;115299;5;Artist;6;3
617;Male;6;93186;5;Entertainment;1;3
618;Male;17;116822;5;Doctor;1;3
619;Female;72;111587;5;Artist;7;4
620;Male;47;65207;5;Healthcare;1;2
621;Female;53;67916;5;Healthcare;0;6
622;Female;82;99983;5;Executive;0;1
623;Male;45;152226;5;Artist;4;4
624;Male;23;146473;5;Artist;1;4
625;Female;95;67398;5;Entertainment;2;5
626;Male;91;94846;5;Engineer;0;5
627;Male;44;90167;5;Engineer;0;3
628;Female;7;172913;5;Executive;3;4
629;Female;41;94316;5;Artist;0;6
630;Female;96;64713;5;Entertainment;2;7
631;Male;36;187305;5;Engineer;6;7
632;Male;97;147301;5;Lawyer;1;5
633;Female;85;92591;5;Artist;8;2
634;Female;41;69730;5;Artist;1;4
635;Female;84;133765;5;Artist;1;3
636;Female;99;57677;5;Lawyer;0;5
637;Female;43;140876;5;Entertainment;0;4
638;Female;28;116644;5;Artist;6;3
639;Female;86;145679;5;Lawyer;9;6
640;Female;91;51733;5;Healthcare;0;5
641;Female;87;129972;5;Executive;1;6
642;Male;89;83953;5;Healthcare;0;3
643;Male;55;65257;5;Doctor;2;3
644;Male;64;163783;5;Healthcare;3;1
645;Female;1;108342;5;Doctor;0;3
646;Female;82;184481;5;Executive;0;2
647;Female;16;60044;5;Artist;4;1
648;Female;38;161130;5;Artist;8;3
649;Female;40;179150;5;Artist;5;2
650;Male;65;54431;5;Healthcare;1;7
651;Female;88;168437;5;Artist;2;2
652;Male;84;172523;5;Artist;6;2
653;Male;89;100155;5;Healthcare;6;1
654;Female;31;143241;5;Executive;4;7
655;Female;81;125316;5;Lawyer;0;6
656;Female;78;59784;5;Artist;3;3
657;Female;59;158372;5;Artist;1;1
658;Female;38;145704;5;Marketing;0;4
659;Female;70;55875;5;Engineer;0;5
660;Female;44;177513;5;Lawyer;1;5
661;Female;87;100850;5;Doctor;0;3
662;Female;8;186682;5;Entertainment;1;1
